00b60b00	rmSetOcean(bool reveal): Sets whether or not to reveal oceans.	"rmSetOcean(bool reveal): Sets whether or not to reveal oceans."	ds	1
00b61e68	rmAddUnitsToArmy(int playerID, int armyID, int objectDefID)	"rmAddUnitsToArmy(int playerID, int armyID, int objectDefID)"	ds	1
00b61eb8	rmCreateArmy(int playerID, string armyName)	"rmCreateArmy(int playerID, string armyName)"	ds	1
00b61ef8	rmSetTriggerEffectParamArmy(string paramName, int playerID, int armyID, bool add)	"rmSetTriggerEffectParamArmy(string paramName, int playerID, int armyID, bool add)"	ds	1
00b61f68	rmSetTriggerEffectParamFloat(string paramName, float value, bool add)	"rmSetTriggerEffectParamFloat(string paramName, float value, bool add)"	ds	1
00b61fd0	rmSetTriggerEffectParamInt(string paramName, int value, bool add)	"rmSetTriggerEffectParamInt(string paramName, int value, bool add)"	ds	1
00b62030	rmSetTriggerEffectParam(string paramName, string value, bool add)	"rmSetTriggerEffectParam(string paramName, string value, bool add)"	ds	1
00b6208c	rmAddTriggerEffect(string effectType)	"rmAddTriggerEffect(string effectType)"	ds	1
00b620c8	rmSetTriggerConditionParamArmy(string paramName, int playerID, int armyID, bool add)	"rmSetTriggerConditionParamArmy(string paramName, int playerID, int armyID, bool add)"	ds	1
00b62140	rmSetTriggerConditionParamFloat(string paramName, float value, bool add)	"rmSetTriggerConditionParamFloat(string paramName, float value, bool add)"	ds	1
00b621b0	rmSetTriggerConditionParamInt(string paramName, int value, bool add)	"rmSetTriggerConditionParamInt(string paramName, int value, bool add)"	ds	1
00b62218	rmSetTriggerConditionParam(string paramName, string value, bool add)	"rmSetTriggerConditionParam(string paramName, string value, bool add)"	ds	1
00b6227c	rmAddTriggerCondition(string conditionType)	"rmAddTriggerCondition(string conditionType)"	ds	1
00b622c0	rmSetTriggerLoop(bool loop)	"rmSetTriggerLoop(bool loop)"	ds	1
00b622f0	rmSetTriggerRunImmediately(bool runImmediately)	"rmSetTriggerRunImmediately(bool runImmediately)"	ds	1
00b6233c	rmSetTriggerActive(bool active)	"rmSetTriggerActive(bool active)"	ds	1
00b62370	rmSetTriggerPriority(int priority)	"rmSetTriggerPriority(int priority)"	ds	1
00b623ac	rmTriggerID(string triggerName)	"rmTriggerID(string triggerName)"	ds	1
00b623d8	rmSwitchToTrigger(int triggerID)	"rmSwitchToTrigger(int triggerID)"	ds	1
00b62410	rmCreateTrigger(string triggerName)	"rmCreateTrigger(string triggerName)"	ds	1
00b62444	rmSetVPFile(string filename)	"rmSetVPFile(string filename)"	ds	1
00b624b8	rmSetStatusText(status, progress) : Sets the friendly cool loading screen text.	"rmSetStatusText(status, progress) : Sets the friendly cool loading screen text."	ds	1
00b626e8	rmAddConnectionToClass(int connectionID, int classID): Adds the connection to specified class.	"rmAddConnectionToClass(int connectionID, int classID): Adds the connection to specified class."	ds	1
00b62760	rmBuildConnection(int connectionID): Builds the given connection.	"rmBuildConnection(int connectionID): Builds the given connection."	ds	1
00b627b8	rmSetConnectionBaseTerrainCost(int connectionID, float cost): Sets the base terrain cost for a connection.	"rmSetConnectionBaseTerrainCost(int connectionID, float cost): Sets the base terrain cost for a connection."	ds	1
00b62848	rmSetConnectionTerrainCost(int connectionID, string terrainTypeName, float cost): Sets the terrain cost for a connection.	"rmSetConnectionTerrainCost(int connectionID, string terrainTypeName, float cost): Sets the terrain cost for a connection."	ds	1
00b628e0	rmAddConnectionTerrainReplacement(int connectionID, string terrainTypeName, string newTypeName): Adds a terrain replacement rule to the connection.	"rmAddConnectionTerrainReplacement(int connectionID, string terrainTypeName, string newTypeName): Adds a terrain replacement rule to the connection."	ds	1
00b62998	rmSetConnectionSmoothDistance(int connectionID, float width): Sets connection edge smoothing distance (distance is number of neighboring points to consider in each direction).	"rmSetConnectionSmoothDistance(int connectionID, float width): Sets connection edge smoothing distance (distance is number of neighboring points to consider in each direction)."	ds	1
00b62a68	rmSetConnectionHeightBlend(int connectionID, float width): Sets how smoothly connection height blends into surroundings.	"rmSetConnectionHeightBlend(int connectionID, float width): Sets how smoothly connection height blends into surroundings."	ds	1
00b62b00	rmSetConnectionWarnFailure(int connectionID, bool warn): Sets whether a connection warns on failure.	"rmSetConnectionWarnFailure(int connectionID, bool warn): Sets whether a connection warns on failure."	ds	1
00b62b88	rmSetConnectionCoherence(int connectionID, float width): Sets area coherence (0-1).	"rmSetConnectionCoherence(int connectionID, float width): Sets area coherence (0-1)."	ds	1
00b62bf8	rmSetConnectionBaseHeight(int connectionID, float width): Sets the base height of a connection.	"rmSetConnectionBaseHeight(int connectionID, float width): Sets the base height of a connection."	ds	1
00b62c78	rmSetConnectionWidth(int connectionID, float width, float variance): Sets the width of a connection.	"rmSetConnectionWidth(int connectionID, float width, float variance): Sets the width of a connection."	ds	1
00b62cf8	rmSetConnectionPositionVariance(int connectionID, float variance): Sets the position variance of a connection.	"rmSetConnectionPositionVariance(int connectionID, float variance): Sets the position variance of a connection."	ds	1
00b62d88	rmAddConnectionArea(int connectionID, int areaID): Adds an area to the connection.	"rmAddConnectionArea(int connectionID, int areaID): Adds an area to the connection."	ds	1
00b62df0	rmSetConnectionType(int connectionID, int connectionType, bool connectAll, float connectPercentage): Sets the connection type.	"rmSetConnectionType(int connectionID, int connectionType, bool connectAll, float connectPercentage): Sets the connection type."	ds	1
00b62e84	rmCreateConnection(string name): Creates an connection.	"rmCreateConnection(string name): Creates an connection."	ds	1
00b62ed0	rmPlaceObjectDefInRandomAreaOfClass(int defID, int playerID, int classID, int placeCount): Place object definition for the player in a random area in the given class.	"rmPlaceObjectDefInRandomAreaOfClass(int defID, int playerID, int classID, int placeCount): Place object definition for the player in a random area in the given class."	ds	1
00b62fa0	rmPlaceObjectDefAtRandomAreaOfClass(int defID, int playerID, int classID, int placeCount): Place object definition for the player at the location of a random area in the given class.	"rmPlaceObjectDefAtRandomAreaOfClass(int defID, int playerID, int classID, int placeCount): Place object definition for the player at the location of a random area in the given class."	ds	1
00b63080	rmPlaceObjectDefInArea(int defID, int playerID, int areaID, int placeCount): Place object definition for the player in the given area.	"rmPlaceObjectDefInArea(int defID, int playerID, int areaID, int placeCount): Place object definition for the player in the given area."	ds	1
00b63120	rmPlaceObjectDefAtAreaLoc(int defID, int playerID, int areaID, int placeCount): Place object definition for the player at the given area's location.	"rmPlaceObjectDefAtAreaLoc(int defID, int playerID, int areaID, int placeCount): Place object definition for the player at the given area's location."	ds	1
00b631d8	rmPlaceObjectDefPerPlayer(int defID, bool playerOwned, int placeCount): Place object definition per player.	"rmPlaceObjectDefPerPlayer(int defID, bool playerOwned, int placeCount): Place object definition per player."	ds	1
00b63260	rmSetObjectDefTradeRouteID(int defID, int tradeRouteID): Set the trade route for all objects in this object definition.	"rmSetObjectDefTradeRouteID(int defID, int tradeRouteID): Set the trade route for all objects in this object definition."	ds	1
00b632f8	rmPlaceObjectDefAtPoint(int defID, int playerID, vector point, int placeCount): Place object definition at specific point for given player.	"rmPlaceObjectDefAtPoint(int defID, int playerID, vector point, int placeCount): Place object definition at specific point for given player."	ds	1
00b633a0	rmPlaceObjectDefAtLoc(int defID, int playerID, float xFraction, float zFraction, int placeCount): Place object definition at specific location for given player.	"rmPlaceObjectDefAtLoc(int defID, int playerID, float xFraction, float zFraction, int placeCount): Place object definition at specific location for given player."	ds	1
00b63460	rmAddObjectDefItemByTypeID(int defID, int unitTypeID, int count, float clusterDistance): Add item to object definition.	"rmAddObjectDefItemByTypeID(int defID, int unitTypeID, int count, float clusterDistance): Add item to object definition."	ds	1
00b634f8	rmAddObjectDefItem(int defID, string unitName, int count, float clusterDistance): Add item to object definition.	"rmAddObjectDefItem(int defID, string unitName, int count, float clusterDistance): Add item to object definition."	ds	1
00b63580	rmSetObjectDefForceFullRotation(int defID, bool on): Forces things in this object def to get full arbitrary rotation.	"rmSetObjectDefForceFullRotation(int defID, bool on): Forces things in this object def to get full arbitrary rotation."	ds	1
00b63618	rmSetObjectDefAllowOverlap(int defID, bool on): Lets objects overlap within this object def.	"rmSetObjectDefAllowOverlap(int defID, bool on): Lets objects overlap within this object def."	ds	1
00b63698	rmSetObjectDefHerdAngle(int defID, float angle): Set a herd angle(clockwise from +z) in the object def.	"rmSetObjectDefHerdAngle(int defID, float angle): Set a herd angle(clockwise from +z) in the object def."	ds	1
00b63718	rmSetObjectDefCreateHerd(int defID, bool on): Creates a herd out of all units placed in this object def.	"rmSetObjectDefCreateHerd(int defID, bool on): Creates a herd out of all units placed in this object def."	ds	1
00b637a0	rmSetObjectDefGarrisonStartingUnits(int defID, bool on): Turn on the garrison starting units flag.	"rmSetObjectDefGarrisonStartingUnits(int defID, bool on): Turn on the garrison starting units flag."	ds	1
00b63828	rmSetObjectDefGarrisonSecondaryUnits(int defID, bool on): Turn on the garrison secondary units flag.	"rmSetObjectDefGarrisonSecondaryUnits(int defID, bool on): Turn on the garrison secondary units flag."	ds	1
00b638b8	rmSetObjectDefMaxDistance(int defID, float dist): Set the maximum distance for the object definition (in meters).	"rmSetObjectDefMaxDistance(int defID, float dist): Set the maximum distance for the object definition (in meters)."	ds	1
00b63948	rmSetObjectDefMinDistance(int defID, float dist): Set the minimum distance for the object definition (in meters).	"rmSetObjectDefMinDistance(int defID, float dist): Set the minimum distance for the object definition (in meters)."	ds	1
00b639d8	rmCreateStartingUnitsObjectDef(float clusterDistance): Creates special object definition for starting units with the given cluster distance.	"rmCreateStartingUnitsObjectDef(float clusterDistance): Creates special object definition for starting units with the given cluster distance."	ds	1
00b63a88	rmCreateObjectDef(string name): Creates an object definition.	"rmCreateObjectDef(string name): Creates an object definition."	ds	1
00b63ae0	rmConstraintID(string name): Gets constraint ID for given constraint name.	"rmConstraintID(string name): Gets constraint ID for given constraint name."	ds	1
00b63b3c	rmClassID(string name): Gets class ID for given class name.	"rmClassID(string name): Gets class ID for given class name."	ds	1
00b64f68	rmSetTeamArea(int teamID, int areaID): Sets a team's 'official' area.	"rmSetTeamArea(int teamID, int areaID): Sets a team's 'official' area."	ds	1
00b64fc0	rmGetNumberPlayersOnTeam(int teamID): Gets the number of players on the given team.	"rmGetNumberPlayersOnTeam(int teamID): Gets the number of players on the given team."	ds	1
00b65030	rmGetPlayerCulture(int playerID): Gets the culture the specified player is on.	"rmGetPlayerCulture(int playerID): Gets the culture the specified player is on."	ds	1
00b65098	rmGetPlayerCiv(int playerID): Gets the civilization the specified player is on.	"rmGetPlayerCiv(int playerID): Gets the civilization the specified player is on."	ds	1
00b650f8	rmGetPlayerTeam(int playerID): Gets the team the specified player is on.	"rmGetPlayerTeam(int playerID): Gets the team the specified player is on."	ds	1
00b65154	rmGetPlayerName(int playerID): Gets a player's name.	"rmGetPlayerName(int playerID): Gets a player's name."	ds	1
00b651a0	rmMultiplyPlayerResource(int playerID, string resourceName, float factor): Multiplys a player's resource amount by the given factor.	"rmMultiplyPlayerResource(int playerID, string resourceName, float factor): Multiplys a player's resource amount by the given factor."	ds	1
00b65248	rmAddPlayerResource(int playerID, string resourceName, float amount): Adds to a player's resource amount.	"rmAddPlayerResource(int playerID, string resourceName, float amount): Adds to a player's resource amount."	ds	1
00b652c8	rmSetPlayerResource(int playerID, string resourceName, float amount): Sets a player's resource amount.	"rmSetPlayerResource(int playerID, string resourceName, float amount): Sets a player's resource amount."	ds	1
00b65488	rmResetFairLocs(): Resets fairLoc placment info.	"rmResetFairLocs(): Resets fairLoc placment info."	ds	1
00b655f8	rmPlayerLocZFraction(int playerID): Gets a player's start location z fraction.	"rmPlayerLocZFraction(int playerID): Gets a player's start location z fraction."	ds	1
00b65660	rmPlayerLocXFraction(int playerID): Gets a player's start location x fraction.	"rmPlayerLocXFraction(int playerID): Gets a player's start location x fraction."	ds	1
00b656c8	rmSetPlayerArea(int playerID, int areaID): Sets a player's 'official' area.	"rmSetPlayerArea(int playerID, int areaID): Sets a player's 'official' area."	ds	1
00b65728	rmPlacePlayer(int playerID, float xFraction, float zFraction): Sets one player location.	"rmPlacePlayer(int playerID, float xFraction, float zFraction): Sets one player location."	ds	1
00b65798	rmPlacePlayersRiver(int riverID, float distVariation, float spacingVariation, float edgeDistance): Makes a line of player locations along the specified river.	"rmPlacePlayersRiver(int riverID, float distVariation, float spacingVariation, float edgeDistance): Makes a line of player locations along the specified river."	ds	1
00b65850	rmPlacePlayersLine(float x1, float z1, float x2, float z2, float distVariation, float spacingVariation): Makes a line of player locations.	"rmPlacePlayersLine(float x1, float z1, float x2, float z2, float distVariation, float spacingVariation): Makes a line of player locations."	ds	1
00b658f0	rmPlacePlayersSquare(float dist, float distVariation, float spacingVariationfloat): Makes a square of player locations.	"rmPlacePlayersSquare(float dist, float distVariation, float spacingVariationfloat): Makes a square of player locations."	ds	1
00b65980	rmPlacePlayersCircular(float minFraction, float maxFraction, float angleVariation): Makes a circle of player locations.	"rmPlacePlayersCircular(float minFraction, float maxFraction, float angleVariation): Makes a circle of player locations."	ds	1
00b65a10	rmSetPlacementSection(float fromPercent, float toPercent): Sets the section of the placement line to use.	"rmSetPlacementSection(float fromPercent, float toPercent): Sets the section of the placement line to use."	ds	1
00b65a94	rmSetPlacementTeam(int teamID): Sets the team to place.	"rmSetPlacementTeam(int teamID): Sets the team to place."	ds	1
00b65ae0	rmSetTeamSpacingModifier(float modifier): Sets the team spacing modifier.	"rmSetTeamSpacingModifier(float modifier): Sets the team spacing modifier."	ds	1
00b65b48	rmSetPlayerPlacementArea(float minX, float minZ, float maxX, float maxZ): Sets the area of the map to use for player placement.	"rmSetPlayerPlacementArea(float minX, float minZ, float maxX, float maxZ): Sets the area of the map to use for player placement."	ds	1
00b65be8	rmSetPlayerLocation (int playerID, float xFraction, float zFraction): Manually sets a player's starting location.	"rmSetPlayerLocation (int playerID, float xFraction, float zFraction): Manually sets a player's starting location."	ds	1
00b65c70	rmAddMerc(string unitName, float count, float minCount, float maxCount, float countIncrement, bool multipleUses ) : Adds mercs of to the merc manager for this game.	"rmAddMerc(string unitName, float count, float minCount, float maxCount, float countIncrement, bool multipleUses ) : Adds mercs of to the merc manager for this game."	ds	1
00b65d24	rmGetCivID(string civName) : Returns the civ ID.	"rmGetCivID(string civName) : Returns the civ ID."	ds	1
00b65d68	rmSetSubCiv(int index, string civName, bool big) : Sets a given sub civ in the world.	"rmSetSubCiv(int index, string civName, bool big) : Sets a given sub civ in the world."	ds	1
00b65dd0	rmAllocateSubCivs(int number) : Allocates the number of sub civs in the world.	"rmAllocateSubCivs(int number) : Allocates the number of sub civs in the world."	ds	1
00b65e34	rmSetGaiaCiv(int civ) : Sets Gaia's civilization	"rmSetGaiaCiv(int civ) : Sets Gaia's civilization"	ds	1
00b65e78	rmDoLightingEffect("lightSetName", blendInTime, effectTime, blendOutTime):  applies a lighting set effect.	"rmDoLightingEffect(\"lightSetName\", blendInTime, effectTime, blendOutTime):  applies a lighting set effect."	ds	1
00b65ef8	rmDoLightingFade("lightSetName", fadeTime):  applies a lighting set fade.	"rmDoLightingFade(\"lightSetName\", fadeTime):  applies a lighting set fade."	ds	1
00b65f58	rmSetLightingSet(string name) : Sets a lighting set	"rmSetLightingSet(string name) : Sets a lighting set"	ds	1
00b65fa0	rmFillMapCorners(): Fill map corners with blackmap.	"rmFillMapCorners(): Fill map corners with blackmap."	ds	1
00b65fe8	rmTerrainInitialize( string baseTerrain, float height ): Initializes the terrain to the base type and height.	"rmTerrainInitialize( string baseTerrain, float height ): Initializes the terrain to the base type and height."	ds	1
00b66070	rmSetWindMagnitude(float magnitude): sets the global wind magnitude (1.0f is default).	"rmSetWindMagnitude(float magnitude): sets the global wind magnitude (1.0f is default)."	ds	1
00b660e0	rmSetGlobalStormLength(length, timeBetweenStorms): sets storm length and time between storm in seconds.	"rmSetGlobalStormLength(length, timeBetweenStorms): sets storm length and time between storm in seconds."	ds	1
00b66160	rmSetGlobalRain(percent): sets the global rain percent.	"rmSetGlobalRain(percent): sets the global rain percent."	ds	1
00b661a8	rmSetGlobalSnow(percent): sets the global snow percent.	"rmSetGlobalSnow(percent): sets the global snow percent."	ds	1
00b661f0	rmSetAreaReveal(int areaID, int tiles): Sets the area to be revealed (-1 means don't reveal, 0 means reveal, >0 means reveal plus that number of extra tiles.	"rmSetAreaReveal(int areaID, int tiles): Sets the area to be revealed (-1 means don't reveal, 0 means reveal, >0 means reveal plus that number of extra tiles."	ds	1
00b662a0	rmSetAreaElevationNoiseBias(int areaID, float bias): Sets the area elevation variation noise bias (-1 means down only, 0 means +- equally, 1 means up only.)	"rmSetAreaElevationNoiseBias(int areaID, float bias): Sets the area elevation variation noise bias (-1 means down only, 0 means +- equally, 1 means up only.)"	ds	1
00b66360	rmSetAreaElevationEdgeFalloffDist(int areaID, float dist): Sets the area elevation noise to falloff as it gets closer to the area edge.	"rmSetAreaElevationEdgeFalloffDist(int areaID, float dist): Sets the area elevation noise to falloff as it gets closer to the area edge."	ds	1
00b66410	rmSetAreaElevationVariation(int areaID, float variation): Sets the area elevation variation height (amount to vary +- from area base height).	"rmSetAreaElevationVariation(int areaID, float variation): Sets the area elevation variation height (amount to vary +- from area base height)."	ds	1
00b664c0	rmSetAreaElevationPersistence(int areaID, float persistence): Sets the area elevation variation noise persistence (best >0 and <1).	"rmSetAreaElevationPersistence(int areaID, float persistence): Sets the area elevation variation noise persistence (best >0 and <1)."	ds	1
00b66568	rmSetAreaElevationOctaves(int areaID, int octaves): Sets the area elevation variation noise octaves.	"rmSetAreaElevationOctaves(int areaID, int octaves): Sets the area elevation variation noise octaves."	ds	1
00b665f0	rmSetAreaElevationMinFrequency(int areaID, float freq): Sets the area elevation variation noise frequency (best >0 and <1).	"rmSetAreaElevationMinFrequency(int areaID, float freq): Sets the area elevation variation noise frequency (best >0 and <1)."	ds	1
00b66690	rmSetAreaElevationType(int areaID, int type): Sets the area elevation variation type (cElevNormal, cElevFractalSum, cElevTurbulence).	"rmSetAreaElevationType(int areaID, int type): Sets the area elevation variation type (cElevNormal, cElevFractalSum, cElevTurbulence)."	ds	1
00b66730	rmAddAreaTerrainReplacement(int areaID, string terrainTypeName, string newTypeName): Adds a terrain replacement rule to the area.	"rmAddAreaTerrainReplacement(int areaID, string terrainTypeName, string newTypeName): Adds a terrain replacement rule to the area."	ds	1
00b667d0	rmAddAreaRemoveType(int areaID, string typeName): Add an unit type that the specified area removes.	"rmAddAreaRemoveType(int areaID, string typeName): Add an unit type that the specified area removes."	ds	1
00b66848	rmAddAreaInfluenceSegment(int areaID, float xFraction1, float zFraction1, float xFraction2, float zFraction2): Adds an area influence segment.	"rmAddAreaInfluenceSegment(int areaID, float xFraction1, float zFraction1, float xFraction2, float zFraction2): Adds an area influence segment."	ds	1
00b668f8	rmAddAreaInfluencePoint(int areaID, float xFraction, float zFraction): Adds an area influence point.	"rmAddAreaInfluencePoint(int areaID, float xFraction, float zFraction): Adds an area influence point."	ds	1
00b66978	rmAreaID(string name): Gets area ID for given area name.	"rmAreaID(string name): Gets area ID for given area name."	ds	1
00b669c0	rmSetAreaHeightBlend(int areaID, int heightBlend): Sets how smoothly area height blends into surroundings.	"rmSetAreaHeightBlend(int areaID, int heightBlend): Sets how smoothly area height blends into surroundings."	ds	1
00b66a48	rmSetAreaSmoothDistance(int areaID, int smoothDistance): Sets area edge smoothing distance (distance is number of neighboring points to consider in each direction).	"rmSetAreaSmoothDistance(int areaID, int smoothDistance): Sets area edge smoothing distance (distance is number of neighboring points to consider in each direction)."	ds	1
00b66b08	rmSetAreaCoherence(int areaID, float coherence): Sets area coherence (0-1).	"rmSetAreaCoherence(int areaID, float coherence): Sets area coherence (0-1)."	ds	1
00b66b68	rmSetAreaMaxBlobDistance(int areaID, float dist): Sets maximum blob distance.	"rmSetAreaMaxBlobDistance(int areaID, float dist): Sets maximum blob distance."	ds	1
00b66bd8	rmSetAreaMinBlobDistance(int areaID, float dist): Sets minimum blob distance.	"rmSetAreaMinBlobDistance(int areaID, float dist): Sets minimum blob distance."	ds	1
00b66c48	rmSetAreaMaxBlobs(int areaID, int blobs): Sets maximum number of area blobs.	"rmSetAreaMaxBlobs(int areaID, int blobs): Sets maximum number of area blobs."	ds	1
00b66cb0	rmSetAreaMinBlobs(int areaID, int blobs): Sets minimum number of area blobs.	"rmSetAreaMinBlobs(int areaID, int blobs): Sets minimum number of area blobs."	ds	1
00b66d18	rmSetAreaTerrainLayerVariance(int areaID, bool variance): Specifies if the area should vary the terrain layer edges.	"rmSetAreaTerrainLayerVariance(int areaID, bool variance): Specifies if the area should vary the terrain layer edges."	ds	1
00b66db0	rmAddAreaTerrainLayer(int areaID, string terrain, float minDist, float maxDist): Adds a terrain layer to an area.	"rmAddAreaTerrainLayer(int areaID, string terrain, float minDist, float maxDist): Adds a terrain layer to an area."	ds	1
00b66e40	rmSetAreaObeyWorldCircleConstraint(int areaID, bool constrain): Determines whether an area obeys world circle constraint.	"rmSetAreaObeyWorldCircleConstraint(int areaID, bool constrain): Determines whether an area obeys world circle constraint."	ds	1
00b66ee0	rmSetWorldCircleConstraint(bool constrain): sets whether RM activities should be constrained to the main world circle.	"rmSetWorldCircleConstraint(bool constrain): sets whether RM activities should be constrained to the main world circle."	ds	1
00b66f78	rmSetRiverFoundationParams(int tileBuffer, float heightOffset) -- sets up river foundation parameters: the terrain buffer around the river, and the height of the banks above water level	"rmSetRiverFoundationParams(int tileBuffer, float heightOffset) -- sets up river foundation parameters: the terrain buffer around the river, and the height of the banks above water level"	ds	1
00b67050	rmRiverReveal(int riverID, int extraTiles) -- reveals a river plus the specified number of extra tiles around it.	"rmRiverReveal(int riverID, int extraTiles) -- reveals a river plus the specified number of extra tiles around it."	ds	1
00b670e4	rmRiverAvoid(riverID, riverID2, minDist)	"rmRiverAvoid(riverID, riverID2, minDist)"	ds	1
00b67120	rmRiverAddShallows(riverID, count, radius);	"rmRiverAddShallows(riverID, count, radius);"	ds	1
00b67160	rmRiverAddShallow(riverID, distancePct);	"rmRiverAddShallow(riverID, distancePct);"	ds	1
00b671a0	rmRiverSetShallowRadius(riverID, radius);	"rmRiverSetShallowRadius(riverID, radius);"	ds	1
00b671e8	rmRiverSetBankNoiseParams(riverID, frequency, octaves, persistence, sineLength, sineAmt, variation);	"rmRiverSetBankNoiseParams(riverID, frequency, octaves, persistence, sineLength, sineAmt, variation);"	ds	1
00b67270	rmRiverAddWaypoint(riverID, xFraction, zFraction): Add waypoint to a river.  Don't mix with rmRiverSetConnections or rmRiverConnectRiver	"rmRiverAddWaypoint(riverID, xFraction, zFraction): Add waypoint to a river.  Don't mix with rmRiverSetConnections or rmRiverConnectRiver"	ds	1
00b67310	rmRiverConnectRiver(riverID, riverID, pct, end);	"rmRiverConnectRiver(riverID, riverID, pct, end);"	ds	1
00b67358	rmRiverSetConnections(riverID, start, end);	"rmRiverSetConnections(riverID, start, end);"	ds	1
